Date,Open,High,Low,Close,Volume
2020-01-02,294.59177112860664,300.3507080078125,294.59177112860664,300.3507080078125,31754120
2020-01-03,304.78068836869477,305.6666787418596,297.24977019679386,300.7937316894531,41811268
2020-01-06,295.0347940835608,296.3637796424958,294.1488037109375,294.1488037109375,45343057
2020-01-07,294.59177830512317,295.03477346046924,289.2758364409706,291.9338073730469,50879181
2020-01-08,287.94685097493243,295.03477346046924,287.94685097493243,291.9338073730469,37567748
2020-01-09,296.8068133318866,299.02178955078125,295.47782760054974,299.02178955078125,31481504
2020-01-10,301.67972206261794,302.1227172492003,297.6927653833763,300.7937316894531,27032115
2020-01-13,303.0086689581808,303.0086689581808,300.3506981778459,302.565673828125,30663332
2020-01-14,306.1096781471561,306.55267333984375,305.22368776178087,306.55267333984375,30223993
2020-01-15,305.6667386223288,305.6667386223288,299.0218095218434,301.2367858886719,47434274
2020-01-16,292.37681299047085,298.1357502160407,292.37681299047085,296.36376953125,55211420
2020-01-17,295.9207803995402,297.2497659402567,294.14879967858485,295.0347900390625,52060097
2020-01-20,295.9207803995402,297.2497659402567,295.0347900390625,295.0347900390625,32658203
2020-01-30,288.83286317942833,288.83286317942833,280.41595458984375,280.41595458984375,125451049
2020-01-31,286.1748469352722,286.61784205436703,282.6308859825134,283.5168762207031,62526055
2020-02-03,279.08697509765625,280.4159606933594,276.42900390625,279.08697509765625,59560849
2020-02-04,298.1357581035907,298.5787532865084,287.9468688964844,287.9468688964844,51890496
2020-02-05,291.4908815340231,291.93387679471317,287.5039241878131,290.1618957519531,36601453
2020-02-06,291.93382577537596,294.591796875,291.4908305921053,294.591796875,29267094
2020-02-07,292.37686994599136,292.8198652034853,288.83290788603995,290.6048889160156,28798327
2020-02-10,284.8459526236731,290.6048910126431,284.40295736298305,290.1618957519531,30632424
2020-02-11,292.81975931711327,294.59173970632423,292.3767642198105,293.70574951171875,27524935
2020-02-12,295.4778075716389,297.6927836403918,295.0348123578883,296.8067932128906,37612639
2020-02-13,299.46476449539415,299.46476449539415,296.8067932128906,296.8067932128906,22757021
2020-02-14,298.578774067893,298.578774067893,296.36379799914005,296.8067932128906,16933683
2020-02-17,293.70574951171875,295.034734803627,292.81975931711327,293.70574951171875,15937079
2020-02-18,287.5039166752596,289.2758976717173,285.2889404296875,285.2889404296875,61825604
2020-02-19,285.73191714323315,289.7188741266271,285.28892192285605,289.27587890625,38781218
2020-02-20,290.6049302155338,291.4909208564348,287.94695829283074,288.38995361328125,27011736
